127.0.0.1 - - [02/Apr/2017:20:29:00 +0800] "GET / HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [02/Apr/2017:20:29:03 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [02/Apr/2017:20:29:03 +0800] "GET /MySystem/style.css HTTP/1.1" 200 3584
0:0:0:0:0:0:0:1 - - [02/Apr/2017:20:29:03 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 200 19110
0:0:0:0:0:0:0:1 - - [02/Apr/2017:20:29:03 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 200 152299
0:0:0:0:0:0:0:1 - - [02/Apr/2017:20:29:22 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [02/Apr/2017:20:29:22 +0800] "GET /MySystem/style.css HTTP/1.1" 200 3584
0:0:0:0:0:0:0:1 - - [02/Apr/2017:20:29:22 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 200 19110
0:0:0:0:0:0:0:1 - - [02/Apr/2017:20:29:22 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 200 152299
0:0:0:0:0:0:0:1 - - [02/Apr/2017:20:29:22 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [02/Apr/2017:20:31:28 +0800] "GET /MySystem/test/NewUser.jsp HTTP/1.1" 200 2675
0:0:0:0:0:0:0:1 - - [02/Apr/2017:20:31:28 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2017:20:31:28 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2017:20:31:28 +0800] "GET /MySystem/picture/car6.jpg HTTP/1.1" 200 108449
0:0:0:0:0:0:0:1 - - [02/Apr/2017:20:31:28 +0800] "GET /MySystem/picture/npu2.jpg HTTP/1.1" 200 188064
0:0:0:0:0:0:0:1 - - [02/Apr/2017:20:34:28 +0800] "GET /MySystem/ArticleListServlet HTTP/1.1" 200 2696
0:0:0:0:0:0:0:1 - - [02/Apr/2017:20:34:28 +0800] "GET /MySystem/styles.css HTTP/1.1" 200 3543
