127.0.0.1 - - [20/Apr/2017:13:26:59 +0800] "GET / HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:27:00 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:27:00 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:27:00 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:27:00 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:27:08 +0800] "GET /MySystem/test/manage.jsp HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:27:28 +0800] "GET /MySystem/test/manage.jsp HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:27:28 +0800] "GET /MySystem/style.css HTTP/1.1" 200 4245
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:27:28 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:27:28 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 200 152299
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:27:36 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 26002
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:27:36 +0800] "GET /MySystem/style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:27:36 +0800] "GET /MySystem/bean/jquery-3.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:27:36 +0800] "GET /MySystem/picture/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:30:33 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 26147
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:30:33 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:31:56 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 26147
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:31:56 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:32:18 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 26147
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:32:18 +0800] "GET /MySystem/bean/jquery-3.2.0.min.js HTTP/1.1" 200 86596
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:32:18 +0800] "GET /MySystem/style2.css HTTP/1.1" 200 4825
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:32:18 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 200 19110
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:32:18 +0800] "GET /MySystem/picture/pic1.jpg HTTP/1.1" 200 744994
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:32:18 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:36:00 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 26425
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:36:00 +0800] "GET /MySystem/style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:36:00 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:37:57 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 26457
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:37:57 +0800] "GET /MySystem/style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:37:57 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:38:27 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 26487
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:38:27 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [20/Apr/2017:13:42:58 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 26849
