127.0.0.1 - - [08/Apr/2017:13:16:16 +0800] "GET / HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:16:17 +0800] "GET /MySystem/test/NewUser.jsp HTTP/1.1" 200 2675
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:16:17 +0800] "GET /MySystem/style.css HTTP/1.1" 200 4212
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:16:17 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:16:17 +0800] "GET /MySystem/picture/npu2.jpg HTTP/1.1" 200 188064
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:16:17 +0800] "GET /MySystem/picture/car6.jpg HTTP/1.1" 200 108449
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:16:22 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:16:22 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:16:22 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:16:27 +0800] "POST /MySystem/MainPageServlet HTTP/1.1" 200 11552
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:16:27 +0800] "GET /MySystem/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:16:27 +0800] "GET /MySystem/bean/jquery-3.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:16:27 +0800] "GET /MySystem/picture/mess1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:16:27 +0800] "GET /MySystem/picture/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:16:27 +0800] "GET /MySystem/picture/data1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:16:33 +0800] "GET /MySystem/OrderServlet HTTP/1.1" 200 4085
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:16:33 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:17:39 +0800] "GET /MySystem/OrderServlet HTTP/1.1" 200 4076
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:17:39 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:17:39 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:17:41 +0800] "GET /MySystem/OrderServlet HTTP/1.1" 200 4076
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:17:41 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:18:45 +0800] "GET /MySystem/OrderServlet HTTP/1.1" 200 4076
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:18:45 +0800] "GET /MySystem/style.css HTTP/1.1" 200 4210
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:18:45 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:19:21 +0800] "GET /MySystem/OrderServlet HTTP/1.1" 200 4076
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:19:21 +0800] "GET /MySystem/style.css HTTP/1.1" 200 4245
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:19:21 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:19:21 +0800] "GET /MySystem/OrderServlet HTTP/1.1" 200 4076
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:19:21 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:19:21 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:19:21 +0800] "GET /MySystem/OrderServlet HTTP/1.1" 200 4076
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:19:21 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:13:19:21 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
