0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:57:38 +0800] "GET /MySystem/picture/npu2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:59:56 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:59:56 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:59:56 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:09:59:56 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:00:58 +0800] "GET /MySystem/test/manage.jsp HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:00:58 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:00:58 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:00:58 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:01:04 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 3833
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:01:04 +0800] "GET /MySystem/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:01:04 +0800] "GET /MySystem/picture/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:01:04 +0800] "GET /MySystem/picture/mess1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:01:57 +0800] "GET /MySystem/MainPageServlet?name=daisy HTTP/1.1" 500 1429
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:02:00 +0800] "GET /MySystem/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:02:00 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:02:00 +0800] "GET /MySystem/picture/mess1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:02:00 +0800] "GET /MySystem/picture/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:02:43 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:02:43 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:02:43 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:02:43 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:06:03 +0800] "GET /MySystem/test/AboutUs.jsp HTTP/1.1" 200 2376
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:06:03 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:06:03 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:06:03 +0800] "GET /MySystem/picture/bj2.jpg HTTP/1.1" 200 35338
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:06:03 +0800] "GET /MySystem/picture/bj.png HTTP/1.1" 200 63462
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:06:20 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:06:20 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:06:28 +0800] "GET /MySystem/test/AboutUs.jsp HTTP/1.1" 200 2376
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:06:31 +0800] "GET /MySystem/ArticleListServlet HTTP/1.1" 200 2696
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:06:31 +0800] "GET /MySystem/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:06:31 +0800] "GET /MySystem/picture/npu0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:06:31 +0800] "GET /MySystem/picture/sys1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:06:31 +0800] "GET /MySystem/picture/car6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:06:31 +0800] "GET /MySystem/picture/npu2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:07:05 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:07:05 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:07:05 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:07:09 +0800] "GET /MySystem/ArticleListServlet HTTP/1.1" 200 2696
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:07:31 +0800] "GET /MySystem/test/NewUser.jsp HTTP/1.1" 200 2675
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:07:35 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:07:35 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:08:05 +0800] "POST /MySystem/MainPageServlet HTTP/1.1" 200 11169
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:08:05 +0800] "GET /MySystem/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:08:05 +0800] "GET /MySystem/bean/jquery-3.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:08:05 +0800] "GET /MySystem/picture/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:08:05 +0800] "GET /MySystem/picture/mess1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:08:05 +0800] "GET /MySystem/picture/data1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:08:56 +0800] "POST /MySystem/OperateServlet HTTP/1.1" 200 11189
0:0:0:0:0:0:0:1 - - [24/Mar/2017:10:08:56 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
