127.0.0.1 - - [14/Apr/2017:22:49:41 +0800] "GET / HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [14/Apr/2017:22:49:42 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [14/Apr/2017:22:49:42 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2017:22:49:42 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2017:22:49:42 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2017:22:49:59 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [14/Apr/2017:22:49:59 +0800] "GET /MySystem/style.css HTTP/1.1" 200 4245
0:0:0:0:0:0:0:1 - - [14/Apr/2017:22:49:59 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2017:22:49:59 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 200 152299
0:0:0:0:0:0:0:1 - - [14/Apr/2017:22:50:02 +0800] "GET /MySystem/test/manage.jsp HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [14/Apr/2017:22:50:07 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 16725
0:0:0:0:0:0:0:1 - - [14/Apr/2017:22:50:07 +0800] "GET /MySystem/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2017:22:50:07 +0800] "GET /MySystem/bean/jquery-3.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2017:22:50:07 +0800] "GET /MySystem/picture/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2017:22:50:07 +0800] "GET /MySystem/picture/mess1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2017:22:52:21 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 16725
0:0:0:0:0:0:0:1 - - [14/Apr/2017:22:52:21 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [14/Apr/2017:22:52:50 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 16854
0:0:0:0:0:0:0:1 - - [14/Apr/2017:22:52:50 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [14/Apr/2017:23:04:53 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 16417
0:0:0:0:0:0:0:1 - - [14/Apr/2017:23:04:53 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
