127.0.0.1 - - [29/Mar/2017:20:05:48 +0800] "GET / HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [29/Mar/2017:20:05:49 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [29/Mar/2017:20:05:49 +0800] "GET /MySystem/style.css HTTP/1.1" 200 3584
0:0:0:0:0:0:0:1 - - [29/Mar/2017:20:05:49 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 200 19110
0:0:0:0:0:0:0:1 - - [29/Mar/2017:20:05:49 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 200 152299
0:0:0:0:0:0:0:1 - - [29/Mar/2017:20:06:02 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [29/Mar/2017:20:06:02 +0800] "GET /MySystem/style.css HTTP/1.1" 200 3584
0:0:0:0:0:0:0:1 - - [29/Mar/2017:20:06:02 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 200 19110
0:0:0:0:0:0:0:1 - - [29/Mar/2017:20:06:02 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 200 152299
0:0:0:0:0:0:0:1 - - [29/Mar/2017:20:06:36 +0800] "POST /MySystem/MainPageServlet HTTP/1.1" 200 11169
0:0:0:0:0:0:0:1 - - [29/Mar/2017:20:06:36 +0800] "GET /MySystem/styles.css HTTP/1.1" 200 3543
0:0:0:0:0:0:0:1 - - [29/Mar/2017:20:06:36 +0800] "GET /MySystem/bean/jquery-3.2.0.min.js HTTP/1.1" 200 86596
0:0:0:0:0:0:0:1 - - [29/Mar/2017:20:06:37 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2017:20:06:37 +0800] "GET /MySystem/picture/mess1.png HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [29/Mar/2017:20:06:37 +0800] "GET /MySystem/picture/data1.png HTTP/1.1" 200 3785
0:0:0:0:0:0:0:1 - - [29/Mar/2017:20:06:37 +0800] "GET /MySystem/picture/pic1.jpg HTTP/1.1" 200 744994
0:0:0:0:0:0:0:1 - - [29/Mar/2017:20:06:45 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [29/Mar/2017:20:06:45 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2017:20:06:45 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2017:20:06:45 +0800] "GET /MySystem/picture/npu1.jpg HTTP/1.1" 304 -
