127.0.0.1 - - [06/Mar/2017:20:19:23 +0800] "GET / HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [06/Mar/2017:20:19:25 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [06/Mar/2017:20:19:25 +0800] "GET /MySystem/style.css HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [06/Mar/2017:20:23:24 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [06/Mar/2017:20:23:24 +0800] "GET /MySystem/style.css HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [06/Mar/2017:20:23:47 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [06/Mar/2017:20:23:47 +0800] "GET /MySystem/style.css HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [06/Mar/2017:20:25:48 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [06/Mar/2017:20:25:48 +0800] "GET /MySystem/style.css HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [06/Mar/2017:20:26:16 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [06/Mar/2017:20:26:16 +0800] "GET /MySystem/style.css HTTP/1.1" 200 113
