0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:33:15 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:33:50 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 12286
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:33:50 +0800] "GET /MySystem/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:33:50 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:34:12 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 12285
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:34:12 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:34:25 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 12285
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:34:25 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:48:16 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 12952
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:48:16 +0800] "GET /MySystem/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:48:16 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:49:14 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 12951
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:49:14 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:51:15 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 12953
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:51:15 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:51:35 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 12953
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:51:35 +0800] "GET /MySystem/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:51:35 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:52:18 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 16656
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:52:18 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:54:36 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 16656
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:54:36 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:56:37 +0800] "POST /MySystem/ManageServlet HTTP/1.1" 200 16725
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:56:37 +0800] "GET /MySystem/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2017:09:56:38 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
