127.0.0.1 - - [08/Mar/2017:20:10:51 +0800] "GET / HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:10:53 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:10:53 +0800] "GET /MySystem/style.css HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:10:53 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 200 19110
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:12:08 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:12:08 +0800] "GET /MySystem/style.css HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:12:08 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:13:27 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:13:27 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:13:27 +0800] "GET /MySystem/style.css HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:14:16 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:14:16 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:14:16 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:14:43 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:14:43 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:14:43 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:15:02 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:15:02 +0800] "GET /MySystem/style.css HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:15:02 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 200 19110
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:15:02 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:15:20 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:16:46 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:16:46 +0800] "GET /MySystem/style.css HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:16:46 +0800] "GET /MySystem/picture/npu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:16:47 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:16:47 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:16:48 +0800] "GET /MySystem/index.jsp HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [08/Mar/2017:20:16:48 +0800] "GET /MySystem/style.css HTTP/1.1" 304 -
